#{"t_start": 1720418191.6246479, "env_id": "VizdoomDefendCenter-v0"}
r,l,t
0.0,68,0.414543
-1.0,64,0.432719
-1.0,69,0.451979
0.0,71,0.471648
1.0,97,0.499009
-1.0,88,0.523412
0.0,93,0.549089
0.0,106,0.578293
-1.0,79,0.600531
2.0,105,0.629511
0.0,85,0.65295
0.0,91,0.677841
-1.0,82,0.700448
1.0,76,0.72134
1.0,110,0.751232
1.0,110,0.781451
0.0,70,0.800978
0.0,74,0.821608
3.0,104,0.850252
-1.0,65,0.86834
0.0,66,0.886874
-1.0,76,0.90809
1.0,87,0.932109
-1.0,84,0.955323
-1.0,67,0.974056
2.0,100,1.001614
0.0,68,1.020475
0.0,75,1.041141
0.0,88,1.065476
1.0,104,1.094313
0.0,90,1.119181
0.0,105,1.148038
0.0,90,1.172815
1.0,110,1.203021
0.0,58,1.219238
0.0,66,1.23746
0.0,71,1.257181
0.0,79,1.279012
1.0,116,1.310815
1.0,72,1.330905
0.0,83,1.353968
-1.0,68,1.372819
0.0,72,1.392725
0.0,71,1.412375
0.0,82,1.435057
-1.0,70,1.454533
-1.0,66,1.472883
0.0,110,1.503175
1.0,89,1.527874
1.0,71,1.547991
0.0,78,1.569628
1.0,104,1.598281
0.0,67,1.617054
0.0,98,1.643987
0.0,101,1.67176
-1.0,83,1.694762
-1.0,77,1.71619
0.0,82,1.738957
0.0,71,1.758534
1.0,99,2.277793
1.0,104,2.30659
0.0,74,2.327003
1.0,93,2.352572
1.0,93,2.378183
-1.0,78,2.399812
-1.0,76,2.420835
0.0,103,2.449052
1.0,104,2.477491
1.0,111,2.508065
1.0,72,2.528084
